frame,det_idx,x1,y1,x2,y2,cx,cy,conf
55,4,852.6,657.3,893.8,737.7,873.2,697.5,0.115
56,0,965.2,568.8,977.4,584.2,971.3,576.5,0.678
56,1,1614.5,664.1,1650.3,712.9,1632.4,688.5,0.567
56,2,953.0,642.3,1006.8,663.6,979.9,652.9,0.122
57,0,1619.0,663.8,1655.8,712.2,1637.4,688.0,0.825
57,1,940.8,663.1,1008.4,689.0,974.6,676.0,0.670
57,2,968.0,569.2,979.5,584.3,973.8,576.8,0.599
57,3,856.6,672.2,883.6,762.9,870.1,717.6,0.278
57,4,857.5,697.5,873.1,763.1,865.3,730.3,0.265
58,0,1626.0,664.1,1662.2,712.2,1644.1,688.2,0.732
58,1,970.9,569.6,983.3,585.7,977.1,577.7,0.586
58,2,857.3,681.8,872.6,762.4,865.0,722.1,0.257
59,0,1631.3,663.9,1668.0,711.5,1649.6,687.7,0.709
59,1,974.3,569.9,986.8,586.5,980.5,578.2,0.610
59,2,914.1,708.6,974.3,750.2,944.2,729.4,0.207
60,0,1637.2,662.6,1674.4,710.4,1655.8,686.5,0.802
60,1,977.5,571.9,990.3,587.5,983.9,579.7,0.617
61,0,1643.1,660.9,1681.3,709.2,1662.2,685.0,0.744
61,1,981.8,571.9,995.3,587.6,988.5,579.8,0.597
62,0,1649.5,659.1,1687.7,707.9,1668.6,683.5,0.875
62,1,985.3,570.9,998.7,588.0,992.0,579.4,0.619
63,0,1653.9,659.3,1691.1,706.2,1672.5,682.8,0.810
63,1,986.8,568.0,1002.3,588.2,994.5,578.1,0.658
64,0,1655.8,655.8,1693.6,704.0,1674.7,679.9,0.862
64,1,988.3,569.7,1003.2,589.0,995.7,579.3,0.567
65,0,1657.4,654.9,1695.1,703.4,1676.3,679.2,0.794
65,1,988.7,569.0,1005.5,589.7,997.1,579.3,0.693
65,2,818.2,622.1,834.1,638.1,826.1,630.1,0.117
66,0,989.0,570.4,1006.5,590.5,997.7,580.4,0.675
66,1,1658.7,657.0,1696.1,703.7,1677.4,680.3,0.567
66,2,1664.7,664.8,1696.0,703.4,1680.4,684.1,0.113
67,0,1659.2,656.8,1697.8,705.3,1678.5,681.0,0.678
67,1,989.4,572.9,1006.8,592.5,998.1,582.7,0.671
68,0,989.9,577.8,1005.7,594.1,997.8,585.9,0.579
68,1,1660.0,658.2,1698.9,706.6,1679.4,682.4,0.421
69,0,1662.3,659.3,1700.2,707.0,1681.3,683.1,0.757
69,1,990.4,578.8,1006.4,595.1,998.4,587.0,0.599
70,0,1662.9,659.2,1701.5,707.3,1682.2,683.2,0.775
70,1,991.0,579.5,1007.0,594.9,999.0,587.2,0.587
71,0,1663.3,659.4,1702.0,707.4,1682.6,683.4,0.793
71,1,991.5,579.8,1007.7,595.8,999.6,587.8,0.644
72,0,1662.3,660.1,1701.8,708.4,1682.1,684.3,0.725
72,1,992.0,580.8,1007.9,596.4,999.9,588.6,0.668
73,0,991.8,581.5,1007.7,597.0,999.7,589.3,0.607
73,1,1661.3,662.1,1700.5,709.8,1680.9,685.9,0.540
74,0,991.0,582.2,1007.7,598.1,999.3,590.2,0.694
74,1,1659.7,662.3,1699.3,710.3,1679.5,686.3,0.255
